ticker,Mean R^2,"Mean R^2, firm","Mean R^2, year","Mean R^2, rolling"
CRM,0.17660391330718994,0.14209063474930295,0.08178589516883206,0.04400419854342541
CRMT,0.10923856496810913,0.08353377375258209,-0.001523448110062997,0.02326608991766599
CRNT,0.029848933219909668,0.009117682849345776,0.07295229918367852,0.07689376077935595
CRON,0.06743568181991577,0.40443129797895017,0.4735831485337796,-0.07623974037840586
CROX,0.268313467502594,0.10693456670886314,0.22359197858139712,0.237564936518451
CRR,0.05382132530212402,-0.3462262830446894,0.23278430303617936,0.24682154390340072
CRRC,0.47971194982528687,-0.7885813086637294,0.08535696528358672,-0.06279762891688012
CRS,0.1469883918762207,0.1371007195646855,0.0026299596731084174,-0.006242768804333609
CRSP,0.09495973587036133,-0.4695709314854646,-0.30827029195995403,-0.2269044373097755
CRTO,-0.09125113487243652,-0.10734002138063503,-0.18839702137125247,-0.14695838545115425
CRU,0.15615946054458618,0.05391400974161864,0.16520439559256928,0.15482124913213158
CRUS,0.05051100254058838,0.06912816850951686,-0.007045292731264086,-0.07178953576160008
CRVL,0.22725743055343628,0.01834629601547877,0.4308990204176695,0.18494833702592095
CRWS,-0.12858498096466064,-0.12889163797701575,-0.15488490813771416,-0.1070014666584691
CRXL,0.2021801471710205,0.2611349521704831,0.010376822161988097,0.15398834365115288
CRY,-0.10295569896697998,-0.10385792352135237,-0.5971798304483993,-0.6526837968808892
CRYP,0.2968464493751526,0.22165275082506108,-0.028451911213571046,-0.0011049756921197584
CRZO,-0.13683223724365234,-0.0781739022292931,-0.09867097371823474,-0.1227654291050857
CS,0.15765130519866943,0.15190271886244566,0.02630976048046152,0.011157401962555435
CSA,-0.3053950071334839,-0.37793112936169093,-0.2954536926933642,-0.3043770371389487
CSBK,0.32222890853881836,-0.5498156140943025,0.19382314544859314,0.18847497100114574
CSC,0.05145388841629028,0.05926021806181492,-0.203040980652214,-0.008083244326490657
CSCO,0.02403479814529419,-0.04762939948100975,0.02419115184576337,0.016454407848227715
CSE,0.3906235694885254,-0.15239454847344436,0.2573864921729101,0.14158149003388176
CSFL,0.16654622554779053,0.09634803532042069,0.0468500449287661,0.04056693230434549
CSG,0.3573722243309021,0.08215824228033286,0.22914271141540576,0.19830787873940392
CSGP,0.18714648485183716,0.05039134275400592,0.12849600860183774,0.0508649896731056
CSGS,-0.003913998603820801,-0.03346002807218751,0.14319005426028775,0.06374923474844285
CSH,0.10506623983383179,0.07876152551757898,0.03652825853370545,-0.04625928003488622
CSII,0.07712006568908691,0.07300170415808893,0.15628020803096265,0.11542968114885022
CSIQ,-0.06277894973754883,-0.04437408723650371,0.002641098642472195,-0.02918328383390012
CSKI,0.09449732303619385,0.09358280203193503,0.10512384119873108,0.25568413962837944
