ticker,Mean R^2,"Mean R^2, firm","Mean R^2, year","Mean R^2, rolling"
DAL,0.3114779591560364,0.3010450999910902,0.14499607259513947,0.20652238323235683
DAN,0.1920366883277893,0.19244283696702114,0.10641632255897182,0.12749609109582227
DANG,0.07924854755401611,-0.004056748484970063,0.19190679982449144,0.2025904372472248
DAR,0.1184355616569519,0.11152576789626711,0.040631778601599944,0.0649969920075445
DATA,-0.09830009937286377,-0.2596902402524197,-0.203588580491322,-0.17055552957363118
DATE,-0.027647852897644043,0.3363101318076941,-0.14736280981881178,-0.11795492694111243
DAVE,-0.054790377616882324,-0.06120612347246057,-0.03953313924336177,-0.06151311056497111
DB,0.1848497986793518,0.16498575956287065,0.09047337734239891,0.057734849768753094
DBD,0.24582260847091675,0.26214785733068424,0.2153803553487995,0.23678634618488414
DBTK,-0.3143068552017212,-1.093104097065389,0.057843192496280116,0.04308982720134924
DBVT,0.26045089960098267,0.29259424979744264,0.15991634301288893,0.17637361540917418
DBX,0.06330710649490356,0.7704095286483397,0.7676926135051361,0.6473915727242401
DCI,0.2196759581565857,0.0852640228583027,0.11169080440970758,0.10113066248323499
DCIX,0.04187929630279541,0.2717915554223119,0.11673853126574563,0.24109838956093954
DCM,0.17098158597946167,-0.06493686952985511,0.03423673882627731,0.05022043083992411
DCO,-0.04259228706359863,-0.18371599046675602,-0.029801498467175502,0.02936169095435026
DCOM,0.2675744891166687,0.07542934819881475,0.1340692976358413,0.15105103678208764
DCP,0.47189706563949585,0.36511872791278,0.21994393982164795,0.2996123653333572
DCTH,0.37688106298446655,0.1008501763772065,0.43068455656483196,0.4565765599512088
DDC,0.06801003217697144,0.06719428939213745,0.04172981058281344,0.02072812949430436
DDD,0.19167524576187134,0.07287568539019473,0.16445876008500226,0.22456273772771818
DDE,0.4766916036605835,0.5409431801675542,-0.19925913294027864,-0.3169373306935681
DDR,0.34221941232681274,0.2103532346994743,0.23913259151372257,0.24314404913494814
DDS,0.06638342142105103,0.06753053255167452,-0.008564229581093485,0.028966128336800012
DE,0.3193475008010864,0.17874392412088658,0.28401643146285827,0.24825490616588064
DEA,-0.20117592811584473,-0.2192625430967814,-0.07620127195271897,-0.3098227790031729
DECK,0.07887941598892212,0.06293454035448653,0.048347316238548044,0.037510156103547465
DEI,0.3532875180244446,0.26165707292629825,0.28757022036030233,0.24922420736685547
DEL,-0.6704137325286865,-3.0588748863721555,-0.32558767079707085,-0.7074693101738747
DENN,0.1776006817817688,0.1770459877131797,0.05663710561879065,0.0625994386534432
DEO,0.28000229597091675,0.06714489924103129,0.19179855024951165,0.1678612586384668
DEP,0.2919768691062927,-8.150584636010167,0.43950517753442275,0.4410719523885366
DEPO,-0.005361676216125488,-0.414862691958068,0.1532461970465342,0.21122674998887614
DERM,0.28765952587127686,0.03921267260885808,0.29699666307271055,0.3271629986894964
DESP,-0.15749359130859375,0.07650229647556073,0.05995882083111859,-0.017733633347144062
DEST,0.22363603115081787,0.19380551501309806,0.18979651799358888,0.2166059635405746
DF,0.23187154531478882,-0.06511140813677563,0.29570118329396,0.3205598556852378
